_id,createTime,updateTime,menuType,menuState,menuName,icon,path,__v,parentId[0],parentId[1],component,menuCode
67490b914d74607024d7c442,2024-11-29T00:28:56.826Z,2024-11-29T00:28:56.826Z,1,1,测试功能,,,0,,,,
67490beb4d74607024d7c44e,2021-04-04T13:23:49.765Z,2026-04-09T12:36:26.057Z,1,1,AI问答,,,0,67490beb4d74607024d7c44e,,OtherFunction/AIAnswer,
67490c1b4d74607024d7c451,2021-04-04T13:23:49.765Z,2024-11-29T00:35:40.835Z,1,1,下拉树形,,/test/selectTree,0,67490beb4d74607024d7c44e,,Test/selectTree,
69d79be5bbf5d575241f35be,2026-04-09T11:57:36.614Z,2026-04-09T12:30:38.425Z,1,1,cesium图,,/test/three/cesium/cesiumLayer,0,67490beb4d74607024d7c44e,,,
69d79d90bbf5d575241f35eb,2026-04-09T11:57:36.614Z,2026-04-09T11:57:36.614Z,1,1,应用管理,manager,,0,,,,
69d79e24bbf5d575241f3604,2026-04-09T11:57:36.614Z,2026-04-09T11:57:36.614Z,1,1,11111,qww,,0,,,,
69d79e68bbf5d575241f360b,2026-04-09T11:57:36.614Z,2026-04-09T11:57:36.614Z,1,1,应用管理,,/manager,0,,,,
69d7a1208351c13c541b1350,2026-04-09T12:52:48.032Z,2026-04-09T12:52:48.032Z,1,1,111,,,0,,,,
69d7a1e68351c13c541b1366,2026-04-09T12:56:06.103Z,2026-04-09T12:56:06.103Z,1,1,2222,,,0,,,,
69d7a2232726046e5ce58050,2026-04-09T12:56:54.709Z,2026-04-09T12:56:54.709Z,1,1,213123,,,0,,,,
69d7a3212726046e5ce58061,2026-04-09T12:56:54.709Z,2026-04-09T13:00:44.132Z,1,1,应用管理,,/manager,0,,,,
69d7a34e2726046e5ce58064,2026-04-09T12:56:54.709Z,2026-04-09T13:03:00.837Z,1,1,AI问答,,/manager/AIAnswer,0,69d7a3212726046e5ce58061,,OtherFunction/AIAnswer,
